HourStart,TotalGiros,DuracaoMinutes,KmPerc
0,3.013984298331698,21.167951773447356,12.85998825879714
1,5.348812775793234,29.16747215801639,19.314616726202985
2,7.736369083283403,44.2893948472139,23.805124625524265
3,7.1617977528089884,48.607191011235955,27.568437303370786
4,21.936697002141326,33.07655246252676,17.940495985010706
5,21.160686384693403,26.911131822044354,12.736848839121734
6,23.265377263607977,30.210434581137083,12.89113509770572
7,22.063471375299333,32.70232793888708,12.639573435326124
8,16.821132005336768,32.996886885757334,13.369629864655865
9,15.548944128549623,31.923791073315552,12.919687691843203
10,16.129457317546418,31.606298669380223,12.859309604091031
11,21.59686460807601,33.252439769256874,13.095177054631828
12,20.777223538375456,32.52556578054501,12.654728467005558
13,16.72205124610046,32.612548634722565,12.678679876616776
14,17.08885221044651,32.379132247721635,12.818943921469526
15,20.637478508160786,33.079057374043565,12.704847067739017
16,23.72775889258805,34.51559838794463,12.843207927107063
17,21.675956684930323,34.89910201968531,12.264827084861297
18,15.620655264123258,33.767722853998535,12.451775426449009
19,10.54451107299791,29.25313912292342,12.966186018853517
20,9.346042921367376,26.70890660785478,13.445328110950886
21,11.483970131789018,26.865702131035373,12.973476037008021
22,7.735524060370417,25.999466950959487,12.120513880178938
23,4.129935761433286,22.714285714285715,11.250818526049034
